uid,phase,genotype,trt1,trt2
2024-06-25_1,i,A,dead,dead
2024-06-25_10,i,D,nut,NH4
2024-06-25_11,i,D,nut,NO3
2024-06-25_12,i,D,CTL,CTL
2024-06-25_13,i,E,dead,dead
2024-06-25_14,i,E,CTL,CTL
2024-06-25_15,i,E,dead,dead
2024-06-25_16,i,F,CTL,CTL
2024-06-25_17,i,F,nut,NO3
2024-06-25_18,i,F,nut,NH4
2024-06-25_19,i,G,CTL,CTL
2024-06-25_2,i,A,dead,dead
2024-06-25_20,i,G,nut,NH4
2024-06-25_21,i,G,nut,NO3
2024-06-25_22,i,H,nut,NH4
2024-06-25_23,i,H,nut,NO3
2024-06-25_24,i,H,CTL,CTL
2024-06-25_25,i,I,nut,NO3
2024-06-25_26,i,I,nut,NH4
2024-06-25_27,i,I,dead,dead
2024-06-25_28,i,J,nut,NH4
2024-06-25_29,i,J,CTL,CTL
2024-06-25_3,i,A,dead,dead
2024-06-25_30,i,J,nut,NO3
2024-06-25_31,i,K,nut,NH4
2024-06-25_32,i,K,dead,dead
2024-06-25_33,i,K,dead,dead
2024-06-25_34,i,L,dead,dead
2024-06-25_35,i,L,nut,NO3
2024-06-25_36,i,L,CTL,CTL
2024-06-25_37,i,M,dead,dead
2024-06-25_38,i,M,nut,NH4
2024-06-25_39,i,M,nut,NO3
2024-06-25_4,i,B,dead,dead
2024-06-25_40,i,N,nut,NO3
2024-06-25_41,i,N,CTL,CTL
2024-06-25_42,i,N,CTL,CTL
2024-06-25_43,i,O,nut,NO3
2024-06-25_44,i,O,dead,dead
2024-06-25_45,i,O,CTL,CTL
2024-06-25_46,i,P,nut,NH4
2024-06-25_47,i,P,dead,dead
2024-06-25_48,i,P,CTL,CTL
2024-06-25_5,i,B,nut,NO3
2024-06-25_6,i,B,nut,NH4
2024-06-25_7,i,C,CTL,CTL
2024-06-25_8,i,C,dead,dead
2024-06-25_9,i,C,dead,dead
2024-07-03_1,h,A,dead,dead
2024-07-03_10,h,D,nut,NH4
2024-07-03_11,h,D,nut,NO3
2024-07-03_12,h,D,CTL,CTL
2024-07-03_13,h,E,dead,dead
2024-07-03_14,h,E,CTL,CTL
2024-07-03_15,h,E,dead,dead
2024-07-03_16,h,F,CTL,CTL
2024-07-03_17,h,F,nut,NO3
2024-07-03_18,h,F,nut,NH4
2024-07-03_19,h,G,CTL,CTL
2024-07-03_2,h,A,dead,dead
2024-07-03_20,h,G,nut,NH4
2024-07-03_21,h,G,nut,NO3
2024-07-03_22,h,H,nut,NH4
2024-07-03_23,h,H,nut,NO3
2024-07-03_24,h,H,CTL,CTL
2024-07-03_25,h,I,nut,NO3
2024-07-03_26,h,I,nut,NH4
2024-07-03_27,h,I,dead,dead
2024-07-03_28,h,J,nut,NH4
2024-07-03_29,h,J,CTL,CTL
2024-07-03_3,h,A,dead,dead
2024-07-03_30,h,J,nut,NO3
2024-07-03_31,h,K,nut,NH4
2024-07-03_32,h,K,dead,dead
2024-07-03_33,h,K,dead,dead
2024-07-03_34,h,L,dead,dead
2024-07-03_35,h,L,nut,NO3
2024-07-03_36,h,L,CTL,CTL
2024-07-03_37,h,M,dead,dead
2024-07-03_38,h,M,nut,NH4
2024-07-03_39,h,M,nut,NO3
2024-07-03_4,h,B,dead,dead
2024-07-03_40,h,N,nut,NO3
2024-07-03_41,h,N,CTL,CTL
2024-07-03_42,h,N,CTL,CTL
2024-07-03_43,h,O,nut,NO3
2024-07-03_44,h,O,dead,dead
2024-07-03_45,h,O,CTL,CTL
2024-07-03_46,h,P,nut,NH4
2024-07-03_47,h,P,dead,dead
2024-07-03_48,h,P,CTL,CTL
2024-07-03_5,h,B,nut,NO3
2024-07-03_6,h,B,nut,NH4
2024-07-03_7,h,C,CTL,CTL
2024-07-03_8,h,C,dead,dead
2024-07-03_9,h,C,dead,dead
2024-07-07_1,h,A,dead,dead
2024-07-07_10,h,D,nut,NH4
2024-07-07_11,h,D,nut,NO3
2024-07-07_12,h,D,CTL,CTL
2024-07-07_13,h,E,dead,dead
2024-07-07_14,h,E,CTL,CTL
2024-07-07_15,h,E,dead,dead
2024-07-07_16,h,F,CTL,CTL
2024-07-07_17,h,F,nut,NO3
2024-07-07_18,h,F,nut,NH4
2024-07-07_19,h,G,CTL,CTL
2024-07-07_2,h,A,dead,dead
2024-07-07_20,h,G,nut,NH4
2024-07-07_21,h,G,nut,NO3
2024-07-07_22,h,H,nut,NH4
2024-07-07_23,h,H,nut,NO3
2024-07-07_24,h,H,CTL,CTL
2024-07-07_25,h,I,nut,NO3
2024-07-07_26,h,I,nut,NH4
2024-07-07_27,h,I,dead,dead
2024-07-07_28,h,J,nut,NH4
2024-07-07_29,h,J,CTL,CTL
2024-07-07_3,h,A,dead,dead
2024-07-07_30,h,J,nut,NO3
2024-07-07_31,h,K,nut,NH4
2024-07-07_32,h,K,dead,dead
2024-07-07_33,h,K,dead,dead
2024-07-07_34,h,L,dead,dead
2024-07-07_35,h,L,nut,NO3
2024-07-07_36,h,L,CTL,CTL
2024-07-07_37,h,M,dead,dead
2024-07-07_38,h,M,nut,NH4
2024-07-07_39,h,M,nut,NO3
2024-07-07_4,h,B,dead,dead
2024-07-07_40,h,N,nut,NO3
2024-07-07_41,h,N,CTL,CTL
2024-07-07_42,h,N,CTL,CTL
2024-07-07_43,h,O,nut,NO3
2024-07-07_44,h,O,dead,dead
2024-07-07_45,h,O,CTL,CTL
2024-07-07_46,h,P,nut,NH4
2024-07-07_47,h,P,dead,dead
2024-07-07_48,h,P,CTL,CTL
2024-07-07_5,h,B,nut,NO3
2024-07-07_6,h,B,nut,NH4
2024-07-07_7,h,C,CTL,CTL
2024-07-07_8,h,C,dead,dead
2024-07-07_9,h,C,dead,dead
2024-07-13_1,h,A,dead,dead
2024-07-13_10,h,D,nut,NH4
2024-07-13_11,h,D,nut,NO3
2024-07-13_12,h,D,CTL,CTL
2024-07-13_14,h,E,CTL,CTL
2024-07-13_16,h,F,CTL,CTL
2024-07-13_17,h,F,nut,NO3
2024-07-13_18,h,F,nut,NH4
2024-07-13_19,h,G,CTL,CTL
2024-07-13_2,h,A,dead,dead
2024-07-13_20,h,G,nut,NH4
2024-07-13_22,h,H,nut,NH4
2024-07-13_23,h,H,nut,NO3
2024-07-13_24,h,H,CTL,CTL
2024-07-13_25,h,I,nut,NO3
2024-07-13_26,h,I,nut,NH4
2024-07-13_27,h,I,dead,dead
2024-07-13_28,h,J,nut,NH4
2024-07-13_29,h,J,CTL,CTL
2024-07-13_3,h,A,dead,dead
2024-07-13_30,h,J,nut,NO3
2024-07-13_31,h,K,nut,NH4
2024-07-13_32,h,K,dead,dead
2024-07-13_33,h,K,dead,dead
2024-07-13_34,h,L,dead,dead
2024-07-13_35,h,L,nut,NO3
2024-07-13_36,h,L,CTL,CTL
2024-07-13_37,h,M,dead,dead
2024-07-13_38,h,M,nut,NH4
2024-07-13_39,h,M,nut,NO3
2024-07-13_4,h,B,dead,dead
2024-07-13_40,h,N,nut,NO3
2024-07-13_41,h,N,CTL,CTL
2024-07-13_42,h,N,CTL,CTL
2024-07-13_43,h,O,nut,NO3
2024-07-13_44,h,O,dead,dead
2024-07-13_45,h,O,CTL,CTL
2024-07-13_46,h,P,nut,NH4
2024-07-13_47,h,P,dead,dead
2024-07-13_48,h,P,CTL,CTL
2024-07-13_5,h,B,nut,NO3
2024-07-13_6,h,B,nut,NH4
2024-07-13_7,h,C,CTL,CTL
2024-07-13_9,h,C,dead,dead
2024-07-21_1,h,A,dead,dead
2024-07-21_10,h,D,nut,NH4
2024-07-21_11,h,D,nut,NO3
2024-07-21_12,h,D,CTL,CTL
2024-07-21_14,h,E,CTL,CTL
2024-07-21_16,h,F,CTL,CTL
2024-07-21_17,h,F,nut,NO3
2024-07-21_18,h,F,nut,NH4
2024-07-21_19,h,G,CTL,CTL
2024-07-21_2,h,A,dead,dead
2024-07-21_20,h,G,nut,NH4
2024-07-21_21,h,G,nut,NO3
2024-07-21_22,h,H,nut,NH4
2024-07-21_23,h,H,nut,NO3
2024-07-21_24,h,H,CTL,CTL
2024-07-21_25,h,I,nut,NO3
2024-07-21_26,h,I,nut,NH4
2024-07-21_27,h,I,dead,dead
2024-07-21_28,h,J,nut,NH4
2024-07-21_29,h,J,CTL,CTL
2024-07-21_3,h,A,dead,dead
2024-07-21_30,h,J,nut,NO3
