Date,Time,ID,rlc_order,F,F0,Fm,Fm',Epar,Y(II),ETR,Fv/Fm,NPQ,deltaNPQ,rETR
6/25/2024,7:40:24 AM,43,1,195,195,610,610,0,0.68,0,0.68,0,0,0
6/25/2024,7:40:55 AM,43,1,241,195,610,611,25,0.606,6.4,0.68,-0.002,0,15.15
6/25/2024,7:41:26 AM,43,1,305,195,610,591,50,0.484,10.2,0.68,0.032,0,24.2
6/25/2024,7:41:57 AM,43,1,369,195,610,557,85,0.338,12.1,0.68,0.095,0,28.73
6/25/2024,7:42:28 AM,43,1,396,195,610,514,145,0.23,14,0.68,0.187,0,33.35
6/25/2024,7:42:59 AM,43,1,397,195,610,477,225,0.168,15.9,0.68,0.279,0,37.8
6/25/2024,7:43:30 AM,43,1,383,195,610,438,375,0.126,19.8,0.68,0.393,0,47.25
6/25/2024,7:44:02 AM,43,1,369,195,610,403,515,0.084,18.2,0.68,0.514,0,43.26
6/25/2024,7:44:34 AM,43,1,352,195,610,375,685,0.061,17.5,0.68,0.627,0,41.78
6/25/2024,7:46:03 AM,5,2,222,222,806,806,0,0.725,0,0.725,0,0,0
6/25/2024,7:46:32 AM,5,2,284,222,806,815,25,0.652,6.8,0.725,-0.011,0,16.3
6/25/2024,7:47:04 AM,5,2,341,222,806,776,50,0.561,11.8,0.725,0.039,0,28.05
6/25/2024,7:47:36 AM,5,2,408,222,806,735,85,0.445,15.9,0.725,0.097,0,37.83
6/25/2024,7:48:06 AM,5,2,466,222,806,680,145,0.315,19.2,0.725,0.185,0,45.67
6/25/2024,7:48:37 AM,5,2,482,222,806,628,225,0.232,21.9,0.725,0.283,0,52.2
6/25/2024,7:49:09 AM,5,2,472,222,806,576,375,0.181,28.5,0.725,0.399,0,67.88
6/25/2024,7:49:40 AM,5,2,458,222,806,526,515,0.129,27.9,0.725,0.532,0,66.44
6/25/2024,7:50:11 AM,5,2,432,222,806,479,685,0.098,28.2,0.725,0.683,0,67.13
6/25/2024,7:52:17 AM,46,3,193,193,597,597,0,0.677,0,0.677,0,0,0
6/25/2024,7:52:48 AM,46,3,235,193,597,593,25,0.604,6.3,0.677,0.007,0,15.1
6/25/2024,7:53:18 AM,46,3,299,193,597,565,50,0.471,9.9,0.677,0.057,0,23.55
6/25/2024,7:53:50 AM,46,3,358,193,597,526,85,0.319,11.4,0.677,0.135,0,27.12
6/25/2024,7:54:21 AM,46,3,375,193,597,477,145,0.214,13,0.677,0.252,0,31.03
6/25/2024,7:54:53 AM,46,3,369,193,597,433,225,0.148,14,0.677,0.379,0,33.3
6/25/2024,7:55:23 AM,46,3,353,193,597,396,375,0.109,17.2,0.677,0.508,0,40.88
6/25/2024,7:55:55 AM,46,3,336,193,597,364,515,0.077,16.7,0.677,0.64,0,39.66
6/25/2024,7:56:26 AM,46,3,317,193,597,335,685,0.054,15.5,0.677,0.782,0,36.99
6/25/2024,8:01:44 AM,10,4,246,246,923,923,0,0.733,0,0.733,0,0,0
6/25/2024,8:02:14 AM,10,4,319,246,923,925,25,0.655,6.9,0.733,-0.002,0,16.38
6/25/2024,8:02:46 AM,10,4,372,246,923,895,50,0.584,12.3,0.733,0.031,0,29.2
6/25/2024,8:03:18 AM,10,4,464,246,923,865,85,0.464,16.6,0.733,0.067,0,39.44
6/25/2024,8:03:48 AM,10,4,546,246,923,818,145,0.333,20.3,0.733,0.128,0,48.29
6/25/2024,8:04:19 AM,10,4,583,246,923,772,225,0.245,23.2,0.733,0.196,0,55.12
6/25/2024,8:04:51 AM,10,4,584,246,923,717,375,0.185,29.1,0.733,0.287,0,69.38
6/25/2024,8:05:21 AM,10,4,573,246,923,658,515,0.129,27.9,0.733,0.403,0,66.44
6/25/2024,8:05:52 AM,10,4,543,246,923,601,685,0.097,27.9,0.733,0.536,0,66.45
6/25/2024,8:32:08 AM,20,5,263,263,807,807,0,0.674,0,0.674,0,0,0
6/25/2024,8:32:38 AM,20,5,378,263,807,815,25,0.536,5.6,0.674,-0.01,0,13.4
6/25/2024,8:33:10 AM,20,5,457,263,807,802,50,0.43,9,0.674,0.006,0,21.5
6/25/2024,8:33:42 AM,20,5,538,263,807,772,85,0.303,10.8,0.674,0.045,0,25.75
6/25/2024,8:34:12 AM,20,5,578,263,807,721,145,0.198,12.1,0.674,0.119,0,28.71
6/25/2024,8:34:43 AM,20,5,586,263,807,673,225,0.129,12.2,0.674,0.199,0,29.03
6/25/2024,8:35:14 AM,20,5,568,263,807,625,375,0.091,14.3,0.674,0.291,0,34.12
6/25/2024,8:35:45 AM,20,5,545,263,807,581,515,0.062,13.4,0.674,0.389,0,31.93
6/25/2024,8:36:17 AM,20,5,516,263,807,539,685,0.043,12.4,0.674,0.497,0,29.45
6/25/2024,8:37:57 AM,15,6,248,248,795,795,0,0.688,0,0.688,0,0,0
6/25/2024,8:38:29 AM,15,6,319,248,795,799,25,0.601,6.3,0.688,-0.005,0,15.02
6/25/2024,8:38:59 AM,15,6,398,248,795,775,50,0.486,10.2,0.688,0.026,0,24.3
6/25/2024,8:39:30 AM,15,6,473,248,795,744,85,0.364,13,0.688,0.069,0,30.94
6/25/2024,8:40:01 AM,15,6,528,248,795,705,145,0.251,15.3,0.688,0.128,0,36.4
6/25/2024,8:40:32 AM,15,6,549,248,795,665,225,0.174,16.4,0.688,0.195,0,39.15
6/25/2024,8:41:03 AM,15,6,544,248,795,625,375,0.13,20.5,0.688,0.272,0,48.75
6/25/2024,8:41:35 AM,15,6,530,248,795,583,515,0.091,19.7,0.688,0.364,0,46.87
6/25/2024,8:42:07 AM,15,6,508,248,795,543,685,0.064,18.4,0.688,0.464,0,43.84
6/25/2024,8:45:52 AM,47,7,243,243,761,761,0,0.681,0,0.681,0,0,0
