genotype,nubbin_num,trt2,2024-06-25,2024-07-03,2024-07-28,2024-08-16,2024-11-23
A,1,dead,6.0,6.11,6.09,5.95,D
A,2,dead,5.09,5.15,5.1,5.06,D
A,3,dead,5.25,5.34,5.34,5.31,D
B,4,dead,5.0,5.1,5.18,5.17,D
B,5,NO3,5.71,5.97,6.13,6.2,6.25
B,6,NH4,4.79,4.85,4.86,4.93,4.9
C,7,CTL,6.96,7.05,7.08,7.06,6.98
C,8,dead,6.2,6.27,D,D,D
C,9,dead,6.38,6.46,D,D,D
D,10,NH4,6.08,6.12,6.25,6.35,6.46
D,11,NO3,8.19,8.38,8.56,8.52,8.28
D,12,CTL,7.31,7.46,7.42,7.56,7.68
E,13,dead,6.52,D,D,D,D
E,14,CTL,7.88,7.92,7.95,7.98,7.9
E,15,dead,9.39,9.41,D,D,D
F,16,CTL,5.33,5.36,5.3,5.35,5.35
F,17,NO3,5.59,5.64,5.62,5.62,D
F,18,NH4,7.0,7.03,7.09,7.15,7.41
G,19,CTL,7.02,7.02,7.03,7.02,6.97
G,20,NH4,9.98,10.07,10.15,10.22,10.57
G,21,NO3,6.14,6.19,6.19,6.25,6.41
H,22,NH4,6.82,6.87,6.98,7.09,7.01
H,23,NO3,6.87,6.92,6.96,7.01,7.22
H,24,CTL,5.11,5.15,5.19,5.22,4.98
I,25,NO3,7.91,8.01,8.18,8.26,8.38
I,26,NH4,9.35,9.46,9.6,9.65,9.75
I,27,dead,7.26,7.34,7.34,7.3,6.71
J,28,NH4,7.73,7.8,8.01,8.08,8.4
J,29,CTL,6.36,6.45,6.54,6.56,6.47
J,30,NO3,7.21,7.22,7.32,7.35,7.32
K,31,NH4,7.35,7.48,7.59,7.63,7.74
K,32,dead,6.44,6.55,6.53,6.56,D
K,33,dead,9.15,9.27,9.38,9.39,D
L,34,dead,7.74,7.87,7.91,7.89,D
L,35,NO3,6.5,6.58,6.65,6.71,6.71
L,36,CTL,6.9,6.98,7.03,7.05,7
M,37,dead,6.02,6.05,6,5.93,D
M,38,NH4,7.42,7.47,7.51,7.59,7.95
M,39,NO3,8.42,8.48,8.52,8.65,8.79
N,40,NO3,8.35,8.45,8.52,8.42,8.42
N,41,CTL,7.04,7.1,7.25,7.22,7.2
N,42,CTL,8.54,8.65,8.73,8.73,8.77
O,43,NO3,6.96,7.06,7.28,7.34,7.42
O,44,dead,7.14,7.29,7.49,D,D
O,45,CTL,7.86,8.01,8.05,8.09,8.01
P,46,NH4,7.21,7.36,7.43,7.47,7.44
P,47,dead,6.72,6.91,6.93,D,D
P,48,CTL,6.55,6.72,6.76,6.76,6.72
