genotype,nubbin_num,trt2,surv_days,event
A,1,heat,0,heat
A,2,heat,0,heat
A,3,heat,0,heat
B,4,heat,0,heat
B,5,NO3,100,0
B,6,NH4,60,1
C,7,CTL,28,1
C,8,heat,0,heat
C,9,heat,0,heat
D,10,NH4,100,0
D,11,NO3,100,0
D,12,CTL,100,0
E,13,heat,0,heat
E,14,CTL,28,1
E,15,heat,0,heat
F,16,CTL,1,1
F,17,NO3,10,1
F,18,NH4,100,0
G,19,CTL,100,0
G,20,NH4,100,0
G,21,NO3,100,0
H,22,NH4,100,0
H,23,NO3,100,0
H,24,CTL,48,1
I,25,NO3,100,0
I,26,NH4,100,0
I,27,heat,0,heat
J,28,NH4,100,0
J,29,CTL,1,1
J,30,NO3,48,1
K,31,NH4,100,0
K,32,heat,0,heat
K,33,heat,0,heat
L,34,heat,0,heat
L,35,NO3,48,1
L,36,CTL,22,1
M,37,heat,0,heat
M,38,NH4,100,0
M,39,NO3,100,0
N,40,NO3,1,1
N,41,CTL,28,1
N,42,CTL,100,0
O,43,NO3,85,1
O,44,heat,0,heat
O,45,CTL,1,1
P,46,NH4,28,1
P,47,heat,0,heat
P,48,CTL,1,1
