Date, rlc_day,phase_full,tp2
6/25/2024,1,acclimation,a
7/3/2024,9,heating,i
7/7/2024,13,heating,h4
7/13/2024,19,heating,h10
7/21/2024,27,heating,h17
7/28/2024,34,heating,h25
8/3/2024,40,selection,s
8/16/2024,53,recovery,1
8/25/2024,62,recovery,9
8/30/2024,67,recovery,14
9/4/2024,72,recovery,19
9/12/2024,80,recovery,27
9/18/2024,86,recovery,33
9/23/2024,91,recovery,38
9/26/2024,94,recovery,41
10/2/2024,100,recovery,47
10/14/2024,112,recovery,59
10/25/2024,123,recovery,70
11/8/2024,136,recovery,83
11/23/2024,151,recovery,100
