"genotype","nubbin_num","trt2","bw1","bw2","bw3","bw4","bw5","surv_days","event","calc_acclimation","calc_heating","calc_recovery"
"A",1,"dead","6","6.11","6.09",5.95,"D",0,"heat","1.22390341034166","-0.501193172070218","D"
"A",2,"dead","5.09","5.15","5.1",5.06,"D",0,"heat","1.05635807384535","-0.720106076688619","D"
"A",3,"dead","5.25","5.34","5.34",5.31,"D",0,"heat","1.19681696117715","0","D"
"B",4,"dead","5","5.1","5.18",5.17,"D",0,"heat","1.25992104989487","0.844984652628867","D"
"B",5,"NO3","5.71","5.97","6.13",6.2,"6.25",100,"0","1.65747026754543","1.01016139650103","0.43204213639766"
"B",6,"NH4","4.79","4.85","4.86",4.93,"4.9",60,"1","1.07796645328589","0.4296303676909","-0.466345397585527"
"C",7,"CTL","6.96","7.05","7.08",7.06,"6.98",28,"1","1.08945949923756","0.546998661036253","-0.739677516952696"
"C",8,"dead","6.2","6.27","D",NA,"D",0,"heat","1.04128301283656","D","D"
"C",9,"dead","6.38","6.46","D",NA,"D",0,"heat","1.07834178982503","D","D"
"D",10,"NH4","6.08","6.12","6.25",6.35,"6.46",100,"0","0.869732042744748","0.934844823133639","0.55745051363567"
"D",11,"NO3","8.19","8.38","8.56",8.52,"8.28",100,"0","1.32380261018025","0.93832159786067","-0.65552694681461"
"D",12,"CTL","7.31","7.46","7.42",7.56,"7.68",100,"0","1.27074368663567","-0.590811951384841","0.541443507209807"
"E",13,"dead","6.52","D","D",NA,"D",0,"heat","D","D","D"
"E",14,"CTL","7.88","7.92","7.95",7.98,"7.9",28,"1","0.797709182495946","0.526187962250153","-0.710083936398726"
"E",15,"dead","9.39","9.41","D",NA,"D",0,"heat","0.597202294703815","D","D"
"F",16,"CTL","5.33","5.36","5.3",5.35,"5.35",1,"1","0.825653859292464","-0.755099827242248","0"
"F",17,"NO3","5.59","5.64","5.62",5.62,"D",10,"1","0.96350224773579","-0.514745447784791","D"
"F",18,"NH4","7","7.03","7.09",7.15,"7.41",100,"0","0.753947441129156","0.68982806481171","0.713765855503608"
"G",19,"CTL","7.02","7.02","7.03",7.02,"6.97",100,"0","0","0.379807188257364","-0.414518862199527"
"G",20,"NH4","9.98","10.07","10.15",10.22,"10.57",100,"0","0.966133903745379","0.673538444323872","0.699636378101277"
"G",21,"NO3","6.14","6.19","6.19",6.25,"6.41",100,"0","0.933828686655529","0","0.63496042078728"
"H",22,"NH4","6.82","6.87","6.98",7.09,"7.01",100,"0","0.901699599046426","0.850787041990652","-0.483223356072912"
"H",23,"NO3","6.87","6.92","6.96",7.01,"7.22",100,"0","0.899506741170444","0.605796625224793","0.669114475747672"
"H",24,"CTL","5.11","5.15","5.19",5.22,"4.98",48,"1","0.921608271097844","0.668487264914917","-0.985749352432369"
"I",25,"NO3","7.91","8.01","8.18",8.26,"8.38",100,"0","1.08128747440379","0.934575415388711","0.52569486266238"
"I",26,"NH4","9.35","9.46","9.6",9.65,"9.75",100,"0","1.055667191978","0.828745500996485","0.469703967806987"
"I",27,"dead","7.26","7.34","7.34",7.3,"6.71",0,"heat","1.03288298233863","0",NA
"J",28,"NH4","7.73","7.8","8.01",8.08,"8.4",100,"0","0.967474474039447","1.01169696703293","0.734366525905201"
"J",29,"CTL","6.36","6.45","6.54",6.56,"6.47",1,"1","1.12269502440536","0.812649268832024","-2.39393795308567"
"J",30,"NO3","7.21","7.22","7.32",7.35,"7.32",48,"1","0.517632550487432","0.810643338381308","-0.439741607249481"
"K",31,"NH4","7.35","7.48","7.59",7.63,"7.74",100,"0","1.20934998737182","0.827000768465264","0.524351742699894"
"K",32,"dead","6.44","6.55","6.53",6.56,"D",0,"heat","1.19536978085249","-0.489709409954535","D"
"K",33,"dead","9.15","9.27","9.38",9.39,"D",0,"heat","1.09459480844036","0.76992165407245","D"
"L",34,"dead","7.74","7.87","7.91",7.89,"D",0,"heat","1.18868686527301","0.580368683927248","D"
"L",35,"NO3","6.5","6.58","6.65",6.71,"6.71",48,"1","1.07166457967425","0.742391400885315","0"
"L",36,"CTL","6.9","6.98","7.03",7.05,"7",22,"1","1.05054251325334","0.650699407445949","-0.68567671615382"
"M",37,"dead","6.02","6.05","6",5.93,"D",0,"heat","0.7928205911984","-0.682465068526708","D"
"M",38,"NH4","7.42","7.47","7.51",7.59,"7.95",100,"0","0.876708801065279","0.59054819601435","0.779866457740065"
"M",39,"NO3","8.42","8.48","8.52",8.65,"8.79",100,"0","0.893195211871986","0.566104921337618","0.544967549601313"
"N",40,"NO3","8.35","8.45","8.52",8.42,"8.42",1,"1","1.06195107325497","0.68300307826354","0"
"N",41,"CTL","7.04","7.1","7.25",7.22,"7.2",28,"1","0.948111753426081","0.933153710860785","-0.462499842220156"
"N",42,"CTL","8.54","8.65","8.73",8.73,"8.77",100,"0","1.08804019135231","0.708544031162715","0.357834257650059"
"O",43,"NO3","6.96","7.06","7.28",7.34,"7.42",85,"1","1.12840132331706","1.06222098567039","0.504264428816031"
"O",44,"dead","7.14","7.29","7.49",NA,"D",0,"heat","1.28074995442203","1.01806703008242","D"
"O",45,"CTL","7.86","8.01","8.05",8.09,"8.01",1,"1","1.24038423458668","0.576967533591639","-2.14641562814959"
"P",46,"NH4","7.21","7.36","7.43",7.47,"7.44",28,"1","1.27659164607859","0.715180436366268","-0.523456833683052"
"P",47,"dead","6.72","6.91","6.93",NA,"D",0,"heat","1.41403917881025","0.481052932854937","D"
"P",48,"CTL","6.55","6.72","6.76",6.76,"6.72",1,"1","1.37426095333523","0.611747857152693","-1.80871899055443"
