"metric","contrast","estimate","SE","df","t.ratio","p.value"
"F0","CTL - NH4",-0.00205491082239383,0.0855292451453213,285.29460038264,-0.024025826708775,0.980848803646656
"F0","CTL - NO3",-0.116854116642764,0.0840218966858847,285.988491127761,-1.39075790064134,0.330760054517316
"F0","NH4 - NO3",-0.114799205820371,0.0649414787224354,282.958641206627,-1.76773316651798,0.234549629925898
"Fm","CTL - NH4",-0.0308641802179781,0.0982697779819693,285.910243328572,-0.314076014536647,0.753692348542235
"Fm","CTL - NO3",-0.139365265602309,0.0964782049326002,285.713653751355,-1.44452589784055,0.438984128707687
"Fm","NH4 - NO3",-0.108501085384331,0.0744872376568595,282.068217399701,-1.45663993990706,0.438984128707687
"QuanYield","CTL - NH4",-0.0144910549250274,0.00775577659297679,283.498083848119,-1.86842087975429,0.188204236328319
"QuanYield","CTL - NO3",-0.0096334182534631,0.00762584477581138,285.765234299098,-1.2632591583846,0.415051485390924
"QuanYield","NH4 - NO3",0.00485763667156434,0.005903255316552,284.017753073934,0.82287422973967,0.415051485390924
"deltaNPQ","CTL - NH4",0.0306059769394545,0.0260703032913213,284.677419035978,1.17397855320092,0.241384804082702
"deltaNPQ","CTL - NO3",0.0788604033116182,0.0256201954169824,285.98055328096,3.07805627662564,0.006857253349079
"deltaNPQ","NH4 - NO3",0.0482544263721637,0.0198148633733385,283.425125485984,2.43526414807842,0.0309953677345071
"pmax","CTL - NH4",0.0796855226436329,0.0603108039600473,282.526636892873,1.32124789277259,0.374975479838755
"pmax","CTL - NO3",0.12430823749617,0.0593211282314407,285.494379157272,2.09551370990759,0.111018087316383
"pmax","NH4 - NO3",0.044622714852537,0.0459489328732812,284.367805393255,0.971137131206036,0.374975479838755
"ek_est","CTL - NH4",0.104336852394467,0.070701206825113,281.615775138205,1.47574358458343,0.282259872672065
"ek_est","CTL - NO3",0.166122723467967,0.0695612283399396,285.195814844794,2.3881510926768,0.0527524058834592
"ek_est","NH4 - NO3",0.0617858710735007,0.0539076330025275,284.631063030931,1.14614327567682,0.282259872672065
"hsat","CTL - NH4",-0.0076920977937925,0.0291527534028272,198.169550380938,-0.263854932928789,0.85363105098558
"hsat","CTL - NO3",-0.0312034738900351,0.0290895513176791,229.986352817873,-1.07266948016043,0.85363105098558
"hsat","NH4 - NO3",-0.0235113760962426,0.0230425254579986,276.874121769993,-1.0203471897687,0.85363105098558
"dspi_pmax","CTL - NH4",0.0540187083269055,0.0254875113561977,276.821160882234,2.11941870557598,0.0698904335721879
"dspi_pmax","CTL - NO3",0.0603844072628932,0.0251075768050527,283.244419953637,2.40502728446264,0.050438501251412
"dspi_pmax","NH4 - NO3",0.00636569893598768,0.0194983741086398,285.479912294376,0.326473320314796,0.744305484773131
