"nubbinID","Date","trt1","trt2","genotype","day1_ek","day1_rlc_time","day1_pmax","day1_pmax_min","day9_rlc_time","day9_ek","day9_pmax","day9_pmax_min","day13_rlc_time","day13_ek","day13_pmax","day13_pmax_min","day19_rlc_time","day19_ek","day19_pmax","day19_pmax_min","day27_rlc_time","day27_ek","day27_pmax","day27_pmax_min","day34_rlc_time","day34_ek","day34_pmax","day34_pmax_min","day40_rlc_time","day40_ek","day40_pmax","day40_pmax_min","day53_rlc_time","day53_ek","day53_pmax","day53_pmax_min","day62_rlc_time","day62_ek","day62_pmax","day62_pmax_min","day67_rlc_time","day67_ek","day67_pmax","day67_pmax_min","day72_rlc_time","day72_ek","day72_pmax","day72_pmax_min","day80_rlc_time","day80_ek","day80_pmax","day80_pmax_min","day86_rlc_time","day86_ek","day86_pmax","day86_pmax_min","day91_rlc_time","day91_ek","day91_pmax","day91_pmax_min","day94_rlc_time","day94_ek","day94_pmax","day94_pmax_min","day100_rlc_time","day100_ek","day100_pmax","day100_pmax_min","day112_rlc_time","day112_ek","day112_pmax","day112_pmax_min","day123_rlc_time","day123_ek","day123_pmax","day123_pmax_min","day136_rlc_time","day136_ek","day136_pmax","day136_pmax_min","day151_rlc_time","day151_ek","day151_pmax","day151_pmax_min","hsat_p1","day_length_p1","rel_hsat_p1","hsat_p9","day_length_p9","rel_hsat_p9","hsat_p13","day_length_p13","rel_hsat_p13","hsat_p19","day_length_p19","rel_hsat_p19","hsat_p27","day_length_p27","rel_hsat_p27","hsat_p34","day_length_p34","rel_hsat_p34","hsat_p40","day_length_p40","rel_hsat_p40","hsat_p53","day_length_p53","rel_hsat_p53","hsat_p62","day_length_p62","rel_hsat_p62","hsat_p67","day_length_p67","rel_hsat_p67","hsat_p72","day_length_p72","rel_hsat_p72","hsat_p80","day_length_p80","rel_hsat_p80","hsat_p86","day_length_p86","rel_hsat_p86","hsat_p91","day_length_p91","rel_hsat_p91","hsat_p94","day_length_p94","rel_hsat_p94","hsat_p100","day_length_p100","rel_hsat_p100","hsat_p112","day_length_p112","rel_hsat_p112","hsat_p123","day_length_p123","rel_hsat_p123","hsat_p136","day_length_p136","rel_hsat_p136","hsat_p151","day_length_p151","rel_hsat_p151","dspi_pmax1","dspi_pmax9","dspi_pmax13","dspi_pmax19","dspi_pmax27","dspi_pmax34","dspi_pmax40","dspi_pmax53","dspi_pmax62","dspi_pmax67","dspi_pmax72","dspi_pmax80","dspi_pmax86","dspi_pmax91","dspi_pmax94","dspi_pmax100","dspi_pmax112","dspi_pmax123","dspi_pmax136","dspi_pmax151"
43,"2024-06-25","nut","NO3","O",46.8695489863874,"07:44:34",36.46,2187.6,"09:26:21",40.7744942042908,27.23,1633.8,"09:48:44",38.2469258108867,31.24,1874.4,"09:10:40",28.3651243542551,20.43,1225.8,"06:47:40",16.7060012121094,11.29,677.4,"08:43:30",15.298002038491,9.8,588,"07:43:20",16.6450564606622,7.92,475.2,"10:30:11",27.2097994374677,18.72,1123.2,"08:25:09",26.4653491372465,24.06,1443.6,"10:17:48",29.8281745791324,26.68,1600.8,"09:51:02",27.4177916330675,24.49,1469.4,"10:50:16",31.8996696153141,26.61,1596.6,"09:33:50",30.9053536784783,26.61,1596.6,"11:48:48",31.3983140181118,21.77,1306.2,"09:52:17",28.0746471735109,23.52,1411.2,"09:30:55",29.7077983838009,24.46,1467.6,"09:17:40",47.8293854780664,36.41,2184.6,"10:46:48",39.6672847750777,31.08,1864.8,"10:20:05",46.048602407436,34.62,2077.2,NA,NA,NA,NA,692.5,818.5,0.845994405602153,679.8,815.6,0.833370692243406,698.4,819.4,0.852622084427687,715.4,808.8,0.884523978683197,740.2,806.2,0.918100566997488,733.4,811,0.90511936003216,731,796.8,0.917422770194013,678.2,778.2,0.871446209101018,662.8,778,0.852855199211825,653.6,761.6,0.858104128397246,666.4,759.4,0.877557876772185,640.6,749.6,0.854668677460099,649.2,744.6,0.87193051381393,649,739.4,0.877730713553309,648.6,736.2,0.881004177716868,627.2,727.4,0.862230542056114,562.8,706.8,0.7957614130761,571.6,696.6,0.820444972891654,550.2,682.6,0.805939856810207,NA,598.5,NA,1514913,1110657.24,1309080.96,876937.32,501411.48,431239.2,347371.2,761754.24,956818.08,1046282.88,979208.16,1022781.96,1036512.72,847723.8,915304.32,920478.72,1229492.88,1065919.68,1142875.44,NA
5,"2024-06-25","nut","NO3","B",75.2013376078853,"07:50:11",57.17,3430.2,"11:26:45",148.898669223676,101.46,6087.6,"09:00:27",53.5678768938055,41.96,2517.6,"08:42:33",43.5932082156427,35.92,2155.2,"10:35:23",34.0379944738766,26.92,1615.2,"10:31:14",36.0618667022528,19.21,1152.6,"09:44:39",48.8771231263653,25.76,1545.6,"09:00:20",34.2746718854716,24.47,1468.2,"08:05:32",26.0086058562581,20.3,1218,"09:57:25",41.7869599359583,31.47,1888.2,"09:11:05",69.8451567263972,48.12,2887.2,"10:26:43",45.5390809313664,34.3,2058,"10:48:52",76.4656934217447,48.99,2939.4,"11:02:24",53.6044658353432,33.04,1982.4,"10:59:47",69.7136259125372,44.43,2665.8,"09:45:08",60.7424446127311,41.49,2489.4,"08:53:29",62.4443349623133,48.25,2895,"11:19:22",59.9547681977076,46.88,2812.8,"11:47:08",46.8832837550267,24.12,1447.2,"09:39:22",46.6109168229834,26.26,1575.6,633.25,818.5,0.77361106542667,557.2,815.6,0.68284723494877,677,819.4,0.826458934117978,688.4,808.8,0.851156253834576,697.4,806.2,0.864964195587868,690.8,811,0.852357282749156,661.6,796.8,0.830388092179659,663.4,778.2,0.852379510383368,663.6,778,0.853844655975697,628.4,761.6,0.824985556985856,571.8,759.4,0.753024630138277,612.4,749.6,0.817003278662205,549.2,744.6,0.737614066687548,608.4,739.4,0.822777833233175,566.8,736.2,0.769905383234526,566.6,727.4,0.77894777259692,518.2,706.8,0.732535280102541,499.4,696.6,0.716925062539892,545.4,682.6,0.798918732272026,426.5,598.5,0.703544151633405,2172174.15,3392010.72,1704415.2,1483639.68,1126440.48,796216.08,1022568.96,974003.88,808264.8,1186544.88,1650900.96,1260319.2,1614318.48,1206092.16,1510975.44,1410494.04,1500189,1404712.32,789302.88,671993.4
46,"2024-06-25","nut","NH4","P",40.2658223118883,"07:56:26",32.62,1957.2,"11:21:17",39.2846976064338,27.85,1671,"08:35:24",41.6424251568872,33.11,1986.6,"07:36:45",32.0881473026526,25.65,1539,"08:54:21",22.8076809888869,18.08,1084.8,"08:38:56",28.2039204594728,14.14,848.4,"07:18:00",24.8883220078562,17.03,1021.8,"09:59:50",39.2845603092235,31.6,1896,"09:24:50",53.7744056715548,39.92,2395.2,"09:16:41",21.4449318795167,20.51,1230.6,"10:35:17",21.6308368489291,18.97,1138.2,"09:06:29",30.7101676128967,17.67,1060.2,NA,NA,NA,NA,"12:26:46",50.9988948577859,26.66,1599.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701.75,818.5,0.857298452365392,683,815.6,0.837304654028605,690.6,819.4,0.843084312179186,708.6,808.8,0.876120872229753,719.4,806.2,0.892262644652538,704.4,811,0.869187446237342,707.8,796.8,0.888287112937747,651.4,778.2,0.836923732496512,597.8,778,0.769413311814785,681.6,761.6,0.894930467083239,682.8,759.4,0.89915151211674,643.4,749.6,0.858392525533291,NA,744.6,NA,610.8,739.4,0.826032439727679,NA,736.2,NA,NA,727.4,NA,NA,706.8,NA,NA,696.6,NA,NA,682.6,NA,NA,598.5,NA,1373465.1,1141293,1371945.96,1090535.4,780405.12,597612.96,723230.04,1235054.4,1431850.56,838776.96,777162.96,682132.68,NA,977035.68,NA,NA,NA,NA,NA,NA
10,"2024-06-25","nut","NH4","D",79.3366960085156,"08:05:52",60.86,3651.6,"14:11:32",151.894397827315,87.24,5234.4,"08:10:45",61.0007696479833,46.14,2768.4,"11:25:48",87.340411608844,64.27,3856.2,"09:59:51",24.9628979169622,16.67,1000.2,"11:06:42",55.9922833547057,17.89,1073.4,"11:08:59",227.23485375388,50.41,3024.6,"09:16:01",25.6114317692512,19.89,1193.4,"09:59:31",39.7550145007462,30.08,1804.8,"09:32:35",41.4275272669358,31.39,1883.4,"11:06:05",58.0360821339134,37.89,2273.4,"10:12:48",66.3475277896977,33.49,2009.4,"11:19:57",74.4202958698643,42.05,2523,"10:41:16",51.6184391231091,27.56,1653.6,"11:19:35",78.0232472714848,39.56,2373.6,"09:50:15",58.8142918352109,42.37,2542.2,"08:43:03",54.2680800435706,42.37,2542.2,"10:06:28",70.6771303263224,55.61,3336.6,"11:37:36",75.809871184302,58.12,3487.2,"09:29:18",58.569154123156,43.22,2593.2,625.25,818.5,0.763837361346674,555.6,815.6,0.680884612230479,669.4,819.4,0.81714839969537,586.4,808.8,0.725008100574513,715,806.2,0.886804649018701,646.6,811,0.797784280262233,383.2,796.8,0.480895720027653,681.2,778.2,0.875288067665007,629.8,778,0.810354090483737,629,761.6,0.825774347228049,604.4,759.4,0.795904964464072,569.4,749.6,0.759662131240533,552.8,744.6,0.742443124967332,610.2,739.4,0.825218328465807,552.6,736.2,0.750615917701194,568.2,727.4,0.781144067385807,544.6,706.8,0.769833858521863,467.8,696.6,0.671596337058858,434.6,682.6,0.636549703424272,297.25,598.5,0.510911364176687,2283162.9,2908232.64,1853166.96,2261275.68,715143,694060.44,1159026.72,812944.08,1136663.04,1184658.6,1374042.96,1144152.36,1394714.4,1009026.72,1311651.36,1444478.04,1384482.12,1560861.48,1515537.12,770828.7
20,"2024-06-25","nut","NH4","G",42.2885618282091,"08:36:17",30.26,1815.6,"08:52:20",66.5977469479326,48.86,2931.6,"09:59:35",31.867897332844,25.99,1559.4,"09:20:03",33.6207951413646,24.78,1486.8,"07:15:06",32.2811201691856,22.66,1359.6,"08:52:48",75.640830669203,41.57,2494.2,"08:11:00",31.3121380965021,17.54,1052.4,"10:53:38",39.0353014941713,28.1,1686,"08:34:57",38.472751096391,30.53,1831.8,"10:39:07",42.7355604394879,34.05,2043,"10:10:18",36.9210608528811,27.01,1620.6,"11:19:55",45.3689449155501,34.05,2043,"10:23:25",40.9632637104464,29.75,1785,"12:08:01",37.9759893382901,26.13,1567.8,"10:21:59",45.4204065557723,31.09,1865.4,"10:31:32",50.6506620137838,33.89,2033.4,"10:27:20",56.1202578462409,34.35,2061,"09:59:44",56.9922662432257,39.36,2361.6,"10:37:07",63.467982732103,43.62,2617.2,"11:14:19",52.5043131780597,35.16,2109.6,697.75,818.5,0.852410682921854,637.2,815.6,0.781036357241451,712.4,819.4,0.86973248461348,705.4,808.8,0.87216316645158,701.4,806.2,0.869920951499104,599.2,811,0.739236943956578,693.6,796.8,0.870490660947992,651.8,778.2,0.837440536126156,633.6,778,0.815252927982956,626.8,761.6,0.822882998892073,642.2,759.4,0.845670095922873,613.2,749.6,0.818066077163705,620,744.6,0.83269457009077,635,739.4,0.858789275888587,609.8,736.2,0.828296250604638,581.2,727.4,0.799005465076619,539,706.8,0.761913872735179,508.4,696.6,0.729828851217841,472.2,682.6,0.691678581922808,357.5,598.5,0.599943862850914,1266834.9,1868015.52,1110916.56,1048788.72,953623.44,1494524.64,729944.64,1098934.8,1160628.48,1280552.4,1040749.32,1252767.6,1106700,995553,1137520.92,1181812.08,1110879,1200637.44,1235841.84,754182
15,"2024-06-25","dead","dead","E",53.9474751817168,"08:42:07",40.21,2412.6,"10:04:01",48.5025087204918,36.17,2170.2,"09:43:05",36.561397902168,31.1,1866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681.75,818.5,0.832858084188902,667.2,815.6,0.817906073823157,702.6,819.4,0.857748049091115,NA,808.8,NA,NA,806.2,NA,NA,811,NA,NA,796.8,NA,NA,778.2,NA,NA,778,NA,NA,761.6,NA,NA,759.4,NA,NA,749.6,NA,NA,744.6,NA,NA,739.4,NA,NA,736.2,NA,NA,727.4,NA,NA,706.8,NA,NA,696.6,NA,NA,682.6,NA,NA,598.5,NA,1644790.05,1447957.44,1311051.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"2024-06-25","dead","dead","P",48.3299037809991,"08:50:01",37,2220,"15:19:39",44.3562222758264,29.8,1788,"10:36:38",41.3145242970638,29.52,1771.2,"09:43:15",29.37064150979,25.36,1521.6,"07:41:49",25.5690846747586,21.67,1300.2,"10:08:22",16.4012359420423,7.64,458.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,691.75,818.5,0.845075285197755,672,815.6,0.823800874570726,690.8,819.4,0.843329110220802,714,808.8,0.882789149250332,713.8,806.2,0.885314542551541,730.2,811,0.901157308916689,NA,796.8,NA,NA,778.2,NA,NA,778,NA,NA,761.6,NA,NA,759.4,NA,NA,749.6,NA,NA,744.6,NA,NA,739.4,NA,NA,736.2,NA,NA,727.4,NA,NA,706.8,NA,NA,696.6,NA,NA,682.6,NA,NA,598.5,NA,1535685,1201536,1223544.96,1086422.4,928082.76,334723.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"2024-06-25","nut","NO3","N",60.9759106099737,"08:57:41",44.56,2673.6,"10:52:23",39.0480481116107,26.59,1595.4,"10:07:45",37.5046933361514,30.45,1827,"09:05:59",63.7350773807611,46.97,2818.2,"07:00:21",23.9108202100043,17.91,1074.6,"08:08:50",25.6177369140112,17.88,1072.8,"07:54:45",19.0626128146101,11.78,706.8,"08:55:01",20.4077581472605,11.77,706.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,664,818.5,0.811167609325273,683.8,815.6,0.838287766141868,700.2,819.4,0.854813601230724,640.4,808.8,0.791804420884818,717.2,806.2,0.88953027854028,709.6,811,0.87558149116802,723.6,796.8,0.908130601599795,695.2,778.2,0.893249696406614,NA,778,NA,NA,761.6,NA,NA,759.4,NA,NA,749.6,NA,NA,744.6,NA,NA,739.4,NA,NA,736.2,NA,NA,727.4,NA,NA,706.8,NA,NA,696.6,NA,NA,682.6,NA,NA,598.5,NA,1775270.4,1090934.52,1279265.4,1804775.28,770703.12,761258.88,511440.48,490950.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"2024-06-25","dead","dead","A",47.7846887891923,"09:05:20",35.55,2133,"10:08:41",38.5158411971229,29.36,1761.6,"08:40:29",32.9943113307633,27.72,1663.2,"07:41:56",28.6804834328337,22.59,1355.4,"09:08:44",22.3532368064422,12.87,772.2,"08:28:39",13.6529243893555,8.19,491.4,"07:33:53",3.0738250921093,7.06,423.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,692,818.5,0.845382033664013,685.2,815.6,0.840001682602414,710.8,819.4,0.867792386472322,714.8,808.8,0.883780484259405,720.6,806.2,0.893749996613694,736.2,811,0.908563981899249,778.6,796.8,0.977151933719484,NA,778.2,NA,NA,778,NA,NA,761.6,NA,NA,759.4,NA,NA,749.6,NA,NA,744.6,NA,NA,739.4,NA,NA,736.2,NA,NA,727.4,NA,NA,706.8,NA,NA,696.6,NA,NA,682.6,NA,NA,598.5,NA,1476036,1207048.32,1182202.56,968839.92,556447.32,361768.68,329814.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"2024-06-25","nut","NH4","B",81.9172883976035,"09:15:02",66.44,3986.4,"07:55:23",77.1312378968332,50.24,3014.4,"07:29:04",46.1597440253909,33.49,2009.4,"11:35:23",46.1624979539206,36.61,2196.6,"09:27:51",27.7586681861997,21.71,1302.6,"10:52:39",24.7752085739252,17.96,1077.6,"10:52:44",22.0207524345837,17.58,1054.8,"09:26:29",18.1173580438624,16.37,982.2,"07:45:47",25.5844512475191,16.91,1014.6,"09:59:31",41.8033589771333,27.45,1647,"09:21:39",42.1411901800144,25.05,1503,"10:36:06",35.8089914716163,24.34,1460.4,"09:59:56",58.7294374755698,30.22,1813.2,"11:30:35",47.9665267301051,25.28,1516.8,"09:47:38",50.1369545858924,26.19,1571.4,"09:08:22",36.9751398834632,24.44,1466.4,"10:31:59",22.0260587233339,14.35,861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620.25,818.5,0.757721836171723,625.8,815.6,0.767045701656741,684.4,819.4,0.835497929557951,683,808.8,0.844480340454489,709.2,806.2,0.879603838403096,711.6,811,0.878044327924773,715,796.8,0.897328682201591,700,778.2,0.899417987263993,664.6,778,0.855127645427156,628.4,761.6,0.824985556985856,632.2,759.4,0.832496213704316,630.6,749.6,0.841313277833275,580.4,744.6,0.779503219857722,617.2,739.4,0.834704948651487,602.4,736.2,0.818246675968799,609.4,727.4,0.837748385493122,637.2,706.8,0.901480483290629,NA,696.6,NA,NA,682.6,NA,NA,598.5,NA,2472564.6,1886411.52,1375233.36,1500277.8,923803.92,766820.16,754182,687540,674303.16,1034974.8,950196.6,920928.24,1052381.28,936168.96,946611.36,893624.16,548629.2,NA,NA,NA
