"genotype","nubbin_num","trt2","bw1","bw2","bw3","bw4","bw5","bw5_dead","calc_acclimation","calc_heating"
"A",1,"dead",6,"6.11","6.09",5.95,"D",TRUE,"1.22390341034166","-0.501193172070218"
"A",2,"dead",5.09,"5.15","5.1",5.06,"D",TRUE,"1.05635807384535","-0.720106076688619"
"A",3,"dead",5.25,"5.34","5.34",5.31,"D",TRUE,"1.19681696117715","0"
"B",4,"dead",5,"5.1","5.18",5.17,"D",TRUE,"1.25992104989487","0.844984652628867"
"B",5,"NO3",5.71,"5.97","6.13",6.2,"6.25",FALSE,"1.65747026754543","1.01016139650103"
"B",6,"NH4",4.79,"4.85","4.86",4.93,"4.9",FALSE,"1.07796645328589","0.4296303676909"
"C",7,"CTL",6.96,"7.05","7.08",7.06,"6.98",FALSE,"1.08945949923756","0.546998661036253"
"C",8,"dead",6.2,"6.27","D",NA,"D",TRUE,"1.04128301283656","D"
"C",9,"dead",6.38,"6.46","D",NA,"D",TRUE,"1.07834178982503","D"
"D",10,"NH4",6.08,"6.12","6.25",6.35,"6.46",FALSE,"0.869732042744748","0.934844823133639"
"D",11,"NO3",8.19,"8.38","8.56",8.52,"8.28",FALSE,"1.32380261018025","0.93832159786067"
"D",12,"CTL",7.31,"7.46","7.42",7.56,"7.68",FALSE,"1.27074368663567","-0.590811951384841"
"E",13,"dead",6.52,"D","D",NA,"D",TRUE,"D","D"
"E",14,"CTL",7.88,"7.92","7.95",7.98,"7.9",FALSE,"0.797709182495946","0.526187962250153"
"E",15,"dead",9.39,"9.41","D",NA,"D",TRUE,"0.597202294703815","D"
"F",16,"CTL",5.33,"5.36","5.3",5.35,"5.35",FALSE,"0.825653859292464","-0.755099827242248"
"F",17,"NO3",5.59,"5.64","5.62",5.62,"D",TRUE,"0.96350224773579","-0.514745447784791"
"F",18,"NH4",7,"7.03","7.09",7.15,"7.41",FALSE,"0.753947441129156","0.68982806481171"
"G",19,"CTL",7.02,"7.02","7.03",7.02,"6.97",FALSE,"0","0.379807188257364"
"G",20,"NH4",9.98,"10.07","10.15",10.22,"10.57",FALSE,"0.966133903745379","0.673538444323872"
"G",21,"NO3",6.14,"6.19","6.19",6.25,"6.41",FALSE,"0.933828686655529","0"
"H",22,"NH4",6.82,"6.87","6.98",7.09,"7.01",FALSE,"0.901699599046426","0.850787041990652"
"H",23,"NO3",6.87,"6.92","6.96",7.01,"7.22",FALSE,"0.899506741170444","0.605796625224793"
"H",24,"CTL",5.11,"5.15","5.19",5.22,"4.98",FALSE,"0.921608271097844","0.668487264914917"
"I",25,"NO3",7.91,"8.01","8.18",8.26,"8.38",FALSE,"1.08128747440379","0.934575415388711"
"I",26,"NH4",9.35,"9.46","9.6",9.65,"9.75",FALSE,"1.055667191978","0.828745500996485"
"I",27,"dead",7.26,"7.34","7.34",7.3,"6.71",FALSE,"1.03288298233863","0"
"J",28,"NH4",7.73,"7.8","8.01",8.08,"8.4",FALSE,"0.967474474039447","1.01169696703293"
"J",29,"CTL",6.36,"6.45","6.54",6.56,"6.47",FALSE,"1.12269502440536","0.812649268832024"
"J",30,"NO3",7.21,"7.22","7.32",7.35,"7.32",FALSE,"0.517632550487432","0.810643338381308"
"K",31,"NH4",7.35,"7.48","7.59",7.63,"7.74",FALSE,"1.20934998737182","0.827000768465264"
"K",32,"dead",6.44,"6.55","6.53",6.56,"D",TRUE,"1.19536978085249","-0.489709409954535"
"K",33,"dead",9.15,"9.27","9.38",9.39,"D",TRUE,"1.09459480844036","0.76992165407245"
"L",34,"dead",7.74,"7.87","7.91",7.89,"D",TRUE,"1.18868686527301","0.580368683927248"
"L",35,"NO3",6.5,"6.58","6.65",6.71,"6.71",FALSE,"1.07166457967425","0.742391400885315"
"L",36,"CTL",6.9,"6.98","7.03",7.05,"7",FALSE,"1.05054251325334","0.650699407445949"
"M",37,"dead",6.02,"6.05","6",5.93,"D",TRUE,"0.7928205911984","-0.682465068526708"
"M",38,"NH4",7.42,"7.47","7.51",7.59,"7.95",FALSE,"0.876708801065279","0.59054819601435"
"M",39,"NO3",8.42,"8.48","8.52",8.65,"8.79",FALSE,"0.893195211871986","0.566104921337618"
"N",40,"NO3",8.35,"8.45","8.52",8.42,"8.42",FALSE,"1.06195107325497","0.68300307826354"
"N",41,"CTL",7.04,"7.1","7.25",7.22,"7.2",FALSE,"0.948111753426081","0.933153710860785"
"N",42,"CTL",8.54,"8.65","8.73",8.73,"8.77",FALSE,"1.08804019135231","0.708544031162715"
"O",43,"NO3",6.96,"7.06","7.28",7.34,"7.42",FALSE,"1.12840132331706","1.06222098567039"
"O",44,"dead",7.14,"7.29","7.49",NA,"D",TRUE,"1.28074995442203","1.01806703008242"
"O",45,"CTL",7.86,"8.01","8.05",8.09,"8.01",FALSE,"1.24038423458668","0.576967533591639"
"P",46,"NH4",7.21,"7.36","7.43",7.47,"7.44",FALSE,"1.27659164607859","0.715180436366268"
"P",47,"dead",6.72,"6.91","6.93",NA,"D",TRUE,"1.41403917881025","0.481052932854937"
"P",48,"CTL",6.55,"6.72","6.76",6.76,"6.72",FALSE,"1.37426095333523","0.611747857152693"
