"Date","rlc_end_time","nubbinID","uid","rlc_day","phase_full","tp2","pmax","maxNPQ_Ypoint1","deltaNPQ","alpha_est","alpha_st_err","alpha_t","alpha_p","ek_est","ek_st_err","ek_t","ek_p","QuanYield","F0","Fm","rlc_order","genotype","phase","trt1","trt2","rank"
"2024-06-25","7:44:34 AM",43,"2024-06-25_43",1,"acclimation","a",36.46,0.393,0.395,0.777945249513917,0.0318221977335188,24.4466223240922,3.08035622307529e-07,46.8695489863874,3.86042850368746,12.1410224128275,1.89786410856438e-05,0.68,195,610,1,"O","i","nut","NO3",1
"2024-06-25","7:50:11 AM",5,"2024-06-25_5",1,"acclimation","a",57.17,0.532,0.543,0.76016337454814,0.0251156812009828,30.2664844510924,8.63154873898509e-08,75.2013376078853,5.75018765442803,13.0780666870889,1.23230598863953e-05,0.725,222,806,1,"B","i","nut","NO3",2
"2024-06-25","7:56:26 AM",46,"2024-06-25_46",1,"acclimation","a",32.62,0.508,0.501,0.810040520825911,0.0297298715540284,27.2466875396288,1.61526522359541e-07,40.2658223118883,2.83484656694685,14.2038806549078,7.61096622743196e-06,0.677,193,597,1,"P","i","nut","NH4",3
"2024-06-25","8:05:52 AM",10,"2024-06-25_10",1,"acclimation","a",60.86,0.403,0.405,0.767100181575697,0.0203314454536744,37.7297415141265,2.314225086836e-08,79.3366960085156,4.93836003799022,16.0653932475939,3.69614680456048e-06,0.733,246,923,2,"D","i","nut","NH4",4
"2024-06-25","8:36:17 AM",20,"2024-06-25_20",1,"acclimation","a",30.26,0.199,0.209,0.715501353452735,0.0148615271740981,48.1445375748309,5.38361954641414e-09,42.2885618282091,1.71184568374096,24.7034894733002,2.89466832100203e-07,0.674,263,807,2,"G","i","nut","NH4",5
"2024-06-25","8:42:07 AM",15,"2024-06-25_15",1,"acclimation","a",40.21,0.272,0.277,0.745383364139324,0.0208876216718371,35.685410998435,3.22849786781052e-08,53.9474751817168,3.17857747500703,16.9722070976412,2.67525889962589e-06,0.688,248,795,2,"E","i","dead","dead",6
"2024-06-25","8:50:01 AM",47,"2024-06-25_47",1,"acclimation","a",37,0.285,0.293,0.765608894579023,0.0217411042597605,35.2148117883804,3.49501175692387e-08,48.3299037809991,2.79004947467083,17.3222389852786,2.37193638830612e-06,0.681,243,761,3,"P","i","dead","dead",7
"2024-06-25","8:57:41 AM",40,"2024-06-25_40",1,"acclimation","a",44.56,0.352,0.356,0.730713130351351,0.0220934960169128,33.0736760624929,5.08361271528222e-08,60.9759106099737,4.02001686700719,15.1680733258637,5.18038727032247e-06,0.677,240,742,3,"N","i","nut","NO3",8
"2024-06-25","9:05:20 AM",3,"2024-06-25_3",1,"acclimation","a",35.55,0.308,0.298,0.743942557226401,0.0283834852176948,26.210401982721,2.03491880569252e-07,47.7846887891923,3.69320024920486,12.9385588554209,1.31167517425782e-05,0.674,224,688,3,"A","i","dead","dead",9
"2024-06-25","9:15:02 AM",6,"2024-06-25_6",1,"acclimation","a",66.44,0.599,0.617,0.811033232819391,0.0210884369824582,38.4586697199998,2.06406192658663e-08,81.9172883976035,5.04595401975271,16.2342518534519,3.47568271746885e-06,0.729,244,902,4,"B","i","nut","NH4",10
"2024-06-25","9:22:59 AM",35,"2024-06-25_35",1,"acclimation","a",28.42,0.193,0.199,0.766841160837972,0.0254360050878988,30.1478615917873,8.83614888691438e-08,37.0560851204962,2.29437136387113,16.1508662913113,3.58258122173699e-06,0.662,217,642,4,"L","i","nut","NO3",11
"2024-06-25","9:32:02 AM",29,"2024-06-25_29",1,"acclimation","a",37.66,0.149,0.153,0.762762589818794,0.0162555682010812,46.9231576763991,6.27881772402547e-09,49.3734706603345,2.15329370850091,22.9292782797883,4.50840683236715e-07,0.66,234,688,4,"J","i","CTL","CTL",12
"2024-06-25","9:40:24 AM",14,"2024-06-25_14",1,"acclimation","a",33.44,0.292,0.297,0.767688636030578,0.0201190965130713,38.1572122551235,2.16349239742519e-08,43.5576941756433,2.24589503475274,19.3943588198185,1.21676336725361e-06,0.672,264,806,5,"E","i","CTL","CTL",13
"2024-06-25","9:48:42 AM",21,"2024-06-25_21",1,"acclimation","a",31.58,0.149,0.152,0.753655587142554,0.0143832910252874,52.3979933255572,3.24285206543828e-09,41.9044441952043,1.55402886299129,26.9650359740063,1.71841530914111e-07,0.679,233,726,5,"G","i","nut","NO3",14
