"Date","Phase","MMD"
2024-06-28,"acclimation",27.93375
2024-06-29,"acclimation",27.846208335
2024-06-30,"acclimation",27.869366668
2024-07-01,"acclimation",27.758266666
2024-07-02,"acclimation",28.398633332
2024-07-03,"acclimation",27.735
2024-07-03,"heating",29.232875
2024-07-04,"heating",30.4699
2024-07-05,"heating",30.473033332
2024-07-06,"heating",30.9708
2024-07-07,"heating",31.3091
2024-07-08,"heating",31.3547
2024-07-09,"heating",31.745699998
2024-07-10,"heating",31.2013
2024-07-11,"heating",31.0616
2024-07-12,"heating",30.857566668
2024-07-13,"heating",30.917533334
2024-07-14,"heating",31.163966668
2024-07-15,"heating",31.409866666
2024-07-16,"heating",31.2774
2024-07-17,"heating",31.551366666
2024-07-18,"heating",31.530933336
2024-07-19,"heating",31.606566668
2024-07-20,"heating",31.549866666
2024-07-21,"heating",30.772099998
2024-07-22,"heating",31.360066666
2024-07-23,"heating",31.366066668
2024-07-24,"heating",31.398766666
2024-07-25,"heating",31.235766666
2024-07-26,"heating",31.264633334
2024-07-27,"heating",31.365599998
2024-07-28,"heating",31.409766666
2024-07-29,"heating",27.791133334
2024-07-30,"heating",31.459
2024-07-30,"recovery",27.033875
2024-07-31,"recovery",26.774633332
2024-08-01,"recovery",26.900366668
2024-08-02,"recovery",26.855399998
2024-08-03,"recovery",26.920233334
2024-08-04,"recovery",26.8278
2024-08-05,"recovery",26.929066666
2024-08-06,"recovery",26.854066668
2024-08-07,"recovery",26.924933334
2024-08-08,"recovery",26.798366666
2024-08-09,"recovery",26.883500002
2024-08-10,"recovery",26.970999998
2024-08-11,"recovery",26.919266666
2024-08-12,"recovery",26.952666668
2024-08-13,"recovery",26.8817
2024-08-14,"recovery",26.912633334
2024-08-15,"recovery",26.8923
2024-08-16,"recovery",26.926633334
2024-08-17,"recovery",26.862166668
2024-08-18,"recovery",26.833333332
2024-08-19,"recovery",26.881666666
2024-08-20,"recovery",26.804966668
2024-08-21,"recovery",26.780333334
2024-08-22,"recovery",26.814733332
2024-08-23,"recovery",26.313233332
2024-08-24,"recovery",26.768133332
2024-08-25,"recovery",26.828466668
2024-08-26,"recovery",26.733133332
2024-08-27,"recovery",26.840766666
2024-08-28,"recovery",26.804933332
2024-08-29,"recovery",26.787033334
2024-08-30,"recovery",26.904533334
2024-08-31,"recovery",26.781199998
2024-09-01,"recovery",26.846466666
2024-09-02,"recovery",26.793433334
2024-09-03,"recovery",26.946
2024-09-04,"recovery",26.8286
2024-09-05,"recovery",26.834566668
2024-09-06,"recovery",26.886700002
2024-09-07,"recovery",26.890733332
2024-09-08,"recovery",26.903766666
2024-09-09,"recovery",26.920899998
2024-09-10,"recovery",26.840133334
2024-09-11,"recovery",26.909533332
2024-09-12,"recovery",26.772299998
2024-09-13,"recovery",26.875933332
2024-09-14,"recovery",26.845766668
2024-09-15,"recovery",26.864466666
2024-09-16,"recovery",26.848166668
2024-09-17,"recovery",26.822166668
2024-09-18,"recovery",26.841033332
2024-09-19,"recovery",26.7886
2024-09-20,"recovery",26.8343
2024-09-21,"recovery",26.967433334
2024-09-22,"recovery",26.956033336
2024-09-23,"recovery",26.972500002
2024-09-24,"recovery",26.913633334
2024-09-25,"recovery",26.842466666
2024-09-26,"recovery",26.916
2024-09-27,"recovery",26.850633334
2024-09-28,"recovery",26.9087
2024-09-29,"recovery",26.8826
2024-09-30,"recovery",26.849866668
2024-10-01,"recovery",26.8514
2024-10-02,"recovery",26.675166666
2024-10-03,"recovery",26.634433334
2024-10-04,"recovery",26.817033336
2024-10-05,"recovery",26.7632
2024-10-06,"recovery",26.9247
2024-10-07,"recovery",26.884833334
2024-10-08,"recovery",26.883366668
2024-10-09,"recovery",26.951966666
2024-10-10,"recovery",26.704766668
2024-10-11,"recovery",26.933266668
2024-10-12,"recovery",26.938033334
2024-10-13,"recovery",26.817233334
2024-10-14,"recovery",27.4049
2024-10-15,"recovery",26.0865
2024-10-16,"recovery",25.904366668
2024-10-17,"recovery",24.627866668
2024-10-18,"recovery",25.817666668
2024-10-19,"recovery",25.600533332
2024-10-20,"recovery",25.796566666
2024-10-21,"recovery",25.586633334
2024-10-22,"recovery",26.169833334
2024-10-23,"recovery",25.993066666
2024-10-24,"recovery",25.98895
2024-10-25,"recovery",26.0437
2024-10-26,"recovery",26.05955
2024-10-27,"recovery",25.96205
2024-10-28,"recovery",25.9986
2024-10-29,"recovery",26.0742
2024-10-30,"recovery",26.06445
2024-10-31,"recovery",26.09985
2024-11-01,"recovery",26.01205
2024-11-02,"recovery",26.0632
2024-11-03,"recovery",25.98415
2024-11-04,"recovery",26.0975
2024-11-05,"recovery",26.06195
2024-11-06,"recovery",25.923
2024-11-07,"recovery",26.0977
2024-11-08,"recovery",25.9048
2024-11-09,"recovery",26.0448
2024-11-10,"recovery",26.03895
2024-11-11,"recovery",25.984
2024-11-12,"recovery",25.97055
2024-11-13,"recovery",26.1831
2024-11-14,"recovery",25.9815
2024-11-15,"recovery",25.917
2024-11-16,"recovery",26.0314
2024-11-17,"recovery",26.0669
2024-11-18,"recovery",26.03645
2024-11-19,"recovery",26.0377
2024-11-20,"recovery",26.05465
2024-11-21,"recovery",25.9938
2024-11-22,"recovery",26.0243
2024-11-23,"recovery",25.93325
2024-11-24,"recovery",26.28025
2024-11-25,"recovery",21.28225
